relative_time,category,api,args_str
0,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
56285,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
116773,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
118338,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT * FROM words WHERE status = 'b'""}"
167655,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
219537,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
250016,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT * FROM words WHERE en_word LIKE ? ORDER BY en_word LIMIT 100""}"
250054,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT * FROM words WHERE en_word LIKE ? ORDER BY en_word LIMIT 100""}"
250088,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT * FROM words WHERE en_word LIKE ? ORDER BY en_word LIMIT 100""}"
250121,database,SQLiteDatabase.rawQuery,"{""sql"": ""SELECT * FROM words WHERE en_word LIKE ? ORDER BY en_word LIMIT 100""}"
312577,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
376075,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
437545,lifecycle,hook_loaded,"{""stage"": ""java_perform"", ""version"": ""3""}"
