bucket,line
well_formed_call_should_have_been_allowed,"<org.apache.cordova.PluginResult: void <init>(org.apache.cordova.PluginResult$Status,java.lang.String)> -> <java.lang.Enum: int ordinal()>"
well_formed_call_should_have_been_allowed,<com.contextlogic.wish.api.service.compound.AuthenticationService: void <init>()> -> <com.contextlogic.wish.api.service.standalone.GetUserStatusService: void <init>()>
well_formed_call_should_have_been_allowed,<com.facebook.GraphRequestBatch: void <init>(java.util.Collection)> -> <java.util.ArrayList: void <init>(java.util.Collection)>
well_formed_call_should_have_been_allowed,"<com.google.android.gms.measurement.internal.zzl$zza: void <init>(java.lang.String,com.google.android.gms.internal.zzlz,java.lang.Object)> -> <java.lang.Object: void <init>()>"
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: com.crashlytics.android.core.ByteString copyFromUtf8(java.lang.String)> -> <com.crashlytics.android.core.ByteString: void <init>(byte[])>
well_formed_call_should_have_been_allowed,"<android.support.v7.widget.q: void <init>(android.content.Context,android.util.AttributeSet,int)> -> <android.widget.ImageView: void <init>(android.content.Context,android.util.AttributeSet,int)>"
well_formed_call_should_have_been_allowed,<com.google.android.gms.ads.internal.request.zza: void <init>()> -> <java.lang.Object: void <init>()>
well_formed_call_should_have_been_allowed,<com.domobile.frame.a.a: java.lang.String a(java.lang.Object[])> -> <java.lang.StringBuffer: void <init>()>
well_formed_call_should_have_been_allowed,<com.google.android.gms.measurement.internal.zzab: com.google.android.gms.measurement.internal.zzal zzj(com.google.android.gms.measurement.internal.zzx)> -> <com.google.android.gms.measurement.internal.zzal: void <init>(com.google.android.gms.measurement.internal.zzx)>
well_formed_call_should_have_been_allowed,"<com.google.android.gms.ads.identifier.AdvertisingIdClient: void <init>(android.content.Context,long,boolean)> -> <java.lang.Object: void <init>()>"
well_formed_call_should_have_been_allowed,"<com.google.android.gms.ads.internal.util.client.VersionInfoParcel: void <init>(int,int,boolean,boolean)> -> <com.google.android.gms.ads.internal.util.client.VersionInfoParcel: void <init>(int,java.lang.String,int,int,boolean)>"
well_formed_call_should_have_been_allowed,<com.b.a.h: void <init>(boolean)> -> <com.b.a.i: void <init>()>
well_formed_call_should_have_been_allowed,<com.google.android.gms.ads.internal.client.zze: void <init>()> -> <com.google.android.gms.dynamic.zzg: void <init>(java.lang.String)>
well_formed_call_should_have_been_allowed,"<com.pixlr.utilities.Path: void <init>(com.pixlr.utilities.Path,java.lang.String[],java.lang.String)> -> <java.lang.Object: void <init>()>"
well_formed_call_should_have_been_allowed,<com.crashlytics.android.core.ByteString: com.crashlytics.android.core.ByteString copyFromUtf8(java.lang.String)> -> <com.crashlytics.android.core.ByteString: void <init>(byte[])>
well_formed_call_should_have_been_allowed,"<org.xwalk.core.XWalkView: void <init>(android.content.Context,android.util.AttributeSet)> -> <org.xwalk.core.ReflectMethod: void <init>(java.lang.Class,java.lang.String,java.lang.Class[])>"
well_formed_call_should_have_been_allowed,"<com.keyja.pool.a.a.a.e.j: void <init>(com.keyja.pool.a.a.a.e.a,android.content.Context,com.keyja.a.a.a.c.m)> -> <java.security.Provider: java.lang.Object put(java.lang.Object,java.lang.Object)>"
well_formed_call_should_have_been_allowed,<com.apptimize.bl: void <clinit>()> -> <com.apptimize.bl: java.lang.String a(char[])>
well_formed_call_should_have_been_allowed,<com.facebook.imagepipeline.memory.PoolConfig: void <init>(com.facebook.imagepipeline.memory.PoolConfig$Builder)> -> <com.facebook.imagepipeline.memory.NoOpPoolStatsTracker: com.facebook.imagepipeline.memory.NoOpPoolStatsTracker getInstance()>
